,symbol1,symbol2,balance
10721,AVUV,IYW,1.2346856457572664
7836,XLC,VGT,1.234676805584945
5468,SPYG,MGK,1.2343841289922592
604,QQQ,QQQM,1.2341345316680996
8119,XLU,AVUV,1.2340296492654887
10893,OEF,FTEC,1.2339996106207154
4579,QQQM,SPYG,1.233612532192766
1927,XLK,VONG,1.23351579723258
1332,VIG,IWY,1.2334925461707906
12034,IWY,VONG,1.2328138661340398
5426,SPYG,VGT,1.2322603464008468
9101,XLP,SCHA,1.2321641419430296
9941,DGRW,OEF,1.2319715717183164
545,VTI,IWY,1.2315605087605608
7175,XLY,SOXX,1.231311840227762
632,QQQ,IUSG,1.2312647254766267
10652,AVUV,VGT,1.2312213783411874
11519,GSLC,MGK,1.2309402208029945
585,QQQ,IVW,1.2309242465796228
3524,VT,VONG,1.230850499517442
5309,SCHB,FTEC,1.2306740658541502
4525,QQQM,QQQ,1.2303871316025685
11445,VGLT,SLV,1.2302296375338828
9137,XLP,IWY,1.2302096484104916
115,SPY,OEF,1.2300840844702075
9086,XLP,VXF,1.2297536341124362
3522,VT,MGK,1.2294802535045493
674,QQQ,VOOG,1.2293898938742192
7329,IUSG,ESGU,1.229219123729693
2593,VYM,SMH,1.2291821753626122
11971,IWY,VUG,1.229081303564178
5208,SCHB,XLK,1.2286966565499444
9099,XLP,VBK,1.2286698799618305
9949,DGRW,IWN,1.2285940702080473
469,VTI,SCHG,1.2284523211031257
1880,XLK,VUG,1.2283895135442757
1701,VGT,MGK,1.228208918691592
5178,SCHG,FTEC,1.2282050463185217
3439,SCHF,GBTC,1.2281239330264877
86,SPY,VBK,1.227963860381183
484,VTI,VONG,1.2277829043788495
9079,XLP,VONG,1.22760442620012
11225,ESGU,MGK,1.2275523283872112
4599,QQQM,IUSG,1.2274955142153448
3283,SPLG,VXF,1.227419269488897
6707,USHY,QQQM,1.2271917955667369
9073,XLP,COWZ,1.2271800642928414
4552,QQQM,IVW,1.2271454012212004
9236,EMXC,SOXX,1.227144238967597
2964,SCHX,MGK,1.2269661716771263
392,IVV,OEF,1.22691340631747
1748,VGT,FTEC,1.2268013413225984
5582,VBR,SMH,1.226713351910485
1155,IWF,FTEC,1.2265443584446158
6288,VONG,VGT,1.2263213676203184
