Fri Jun 18 01:13:09 2021    output.dat

         298323675 function calls (280643773 primitive calls) in 290.736 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12744    0.014    0.000    0.029    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1642(construct_1d_ndarray_preserving_na)
    11151    0.024    0.000    0.054    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1575(get_dtype)
    10284    0.010    0.000    0.011    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\util\timeout.py:119(_validate_timeout)
    10284    0.041    0.000    0.108    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\queue.py:154(get)
    10284    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
    10284    0.004    0.000    0.004    0.000 {method 'values' of 'collections.OrderedDict' objects}
     9942    0.016    0.000    0.028    0.000 {built-in method builtins.any}
     9558    0.004    0.000    0.004    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\typing.py:2020(new_type)
     9558    0.014    0.000    0.019    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:157(ensure_python_int)
     9558    0.021    0.000    0.059    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:757(is_signed_integer_dtype)
     9558    0.017    0.000    0.043    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:813(is_unsigned_integer_dtype)
     9558    0.035    0.000    0.159    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1341(is_bool_dtype)
     9558    0.006    0.000    0.006    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\common.py:174(<genexpr>)
     9558    0.043    0.000    0.101    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\common.py:198(asarray_tuplesafe)
9558/4779    0.330    0.000    1.778    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:250(__new__)
     9558    0.025    0.000    0.029    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:563(_reset_identity)
     9558    0.003    0.000    0.003    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:147(_maybe_coerce_values)
     9558    0.105    0.000    1.505    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1844(_multi_blockify)
     9558    0.009    0.000    0.010    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\construction.py:642(<genexpr>)
     9558    0.008    0.000    0.010    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\construction.py:686(<genexpr>)
     9434    0.005    0.000    0.005    0.000 {method 'rpartition' of 'str' objects}
     9427    0.021    0.000    0.066    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:759(get)
     9427    0.034    0.000    0.056    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:434(urlsplit)
     9427    0.045    0.000    0.119    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\queue.py:122(put)
     9427    0.009    0.000    0.011    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\util\queue.py:18(_put)
     9427    0.007    0.000    0.010    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\util\queue.py:21(_get)
     9427    0.003    0.000    0.003    0.000 {method 'append' of 'collections.deque' objects}
     9427    0.003    0.000    0.003    0.000 {method 'pop' of 'collections.deque' objects}
     8857    0.011    0.000    0.015    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:184(<listcomp>)
     8857    0.009    0.000    0.013    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:185(<listcomp>)
     8573    0.006    0.000    0.006    0.000 {method 'find' of 'str' objects}
     8570    0.049    0.000    0.137    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:369(urlparse)
     8570    0.007    0.000    0.010    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\email\utils.py:51(_has_surrogates)
     8570    0.005    0.000    0.006    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connection.py:218(<genexpr>)
8207/6614    0.008    0.000    0.046    0.000 {built-in method builtins.next}
     7965    0.149    0.000    0.191    0.000 {pandas._libs.lib.infer_dtype}
     7965    0.323    0.000    0.323    0.000 {pandas._libs.lib.infer_datetimelike_array}
     7965    0.007    0.000    0.007    0.000 {pandas._libs.algos.ensure_object}
     7713    0.043    0.000    0.117    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:932(update)
     7713    0.009    0.000    0.020    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\email\_policybase.py:281(_sanitize_header)
     7713    0.007    0.000    0.026    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\email\_policybase.py:311(header_fetch_parse)
     7566    0.007    0.000    0.010    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:200(<listcomp>)
     7566    0.007    0.000    0.009    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:201(<listcomp>)
     6856    0.009    0.000    0.013    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:778(items)
     6856    0.004    0.000    0.004    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:801(__init__)
     6856    0.022    0.000    0.054    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:156(hostname)
     6856    0.017    0.000    0.026    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:198(_hostinfo)
     6856    0.021    0.000    0.046    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\email\message.py:462(get)
     6856    0.186    0.000    0.290    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\util\url.py:210(_encode_invalid_chars)
     6856    0.013    0.000    0.016    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\_collections.py:156(__getitem__)
     6856    0.013    0.000    0.013    0.000 {method 'subn' of 're.Pattern' objects}
     6856    0.005    0.000    0.005    0.000 {method 'decode' of 'bytearray' objects}
     6856    0.006    0.000    0.006    0.000 {method 'count' of 'bytes' objects}
     6856    0.006    0.000    0.142    0.000 {method 'join' of 'bytes' objects}
     5999    0.009    0.000    0.011    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:78(readline)
     5999    0.007    0.000    0.018    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:128(__next__)
     5999    0.030    0.000    0.074    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\utils.py:293(to_key_val_list)
     5999    0.023    0.000    0.133    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\structures.py:42(__init__)
     5999    0.027    0.000    0.146    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:50(merge_setting)
     5174    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     5148    0.007    0.000    0.007    0.000 {built-in method builtins.sorted}
     5142    0.024    0.000    0.024    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\threading.py:82(RLock)
     5142    0.004    0.000    0.006    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\http\client.py:978(_output)
     5142    0.013    0.000    0.022    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1219(vals_sorted_by_key)
     5142    0.007    0.000    0.029    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1223(deepvalues)
     5142    0.005    0.000    0.005    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1750(__iter__)
     5142    0.009    0.000    0.011    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\structures.py:59(__iter__)
     5142    0.004    0.000    0.004    0.000 {method 'groups' of 're.Match' objects}
     5142    0.013    0.000    8.308    0.002 {method 'readline' of '_io.BufferedReader' objects}
     5114    0.002    0.000    0.002    0.000 {method 'toordinal' of 'datetime.date' objects}
