da,strategy_name,code,weight
2023-05-22,cot,GLD,0.4425
2023-05-22,cot,SHY,0.0575
2023-05-23,cot,QQQ,0.5
2023-05-23,cot,GLD,0.4425
2023-05-23,cot,SHY,0.0575
2023-05-24,cot,QQQ,0.5
2023-05-24,cot,GLD,0.4425
2023-05-24,cot,SHY,0.0575
2023-05-25,cot,QQQ,0.5
2023-05-25,cot,GLD,0.4425
2023-05-25,cot,SHY,0.0575
2023-05-26,cot,QQQ,0.5
2023-05-26,cot,GLD,0.4425
2023-05-26,cot,SHY,0.0575
2023-05-30,cot,QQQ,0.5
2023-05-30,cot,GLD,0.4425
2023-05-30,cot,SHY,0.0575
2023-05-31,cot,QQQ,0.5
2023-05-31,cot,GLD,0.4425
2023-05-31,cot,SHY,0.0575
2023-06-01,cot,QQQ,0.5
2023-06-01,cot,GLD,0.4425
2023-06-01,cot,SHY,0.0575
2023-06-02,cot,QQQ,0.5
2023-06-02,cot,GLD,0.4425
2023-06-02,cot,SHY,0.0575
2023-06-05,cot,QQQ,0.5
2023-06-05,cot,GLD,0.4425
2023-06-05,cot,SHY,0.0575
2023-06-06,cot,QQQ,0.5
2023-06-06,cot,GLD,0.4425
2023-06-06,cot,SHY,0.0575
2023-06-07,cot,QQQ,0.5
2023-06-07,cot,GLD,0.4425
2023-06-07,cot,SHY,0.0575
2023-06-08,cot,QQQ,0.5
2023-06-08,cot,GLD,0.4425
2023-06-08,cot,SHY,0.0575
2023-06-09,cot,QQQ,0.5
2023-06-09,cot,GLD,0.4425
2023-06-09,cot,SHY,0.0575
2023-06-12,cot,QQQ,1.0
2023-06-13,cot,QQQ,1.0
2023-06-14,cot,QQQ,1.0
2023-06-15,cot,QQQ,1.0
2023-06-16,cot,QQQ,1.0
2023-06-20,cot,QQQ,1.0
2023-06-21,cot,QQQ,1.0
2023-06-22,cot,QQQ,1.0
2023-06-23,cot,QQQ,1.0
2023-06-26,cot,QQQ,1.0
2023-06-27,cot,QQQ,1.0
2023-06-28,cot,QQQ,1.0
2023-06-29,cot,QQQ,1.0
2023-06-30,cot,QQQ,1.0
2023-07-03,cot,QQQ,1.0
2023-07-05,cot,QQQ,1.0
2023-07-06,cot,QQQ,1.0
2023-07-07,cot,QQQ,1.0
2023-07-10,cot,QQQ,1.0
2023-07-11,cot,QQQ,1.0
2023-07-12,cot,QQQ,1.0
2023-07-13,cot,QQQ,1.0
2023-07-14,cot,QQQ,1.0
2023-07-17,cot,QQQ,1.0
2023-07-18,cot,QQQ,1.0
2023-07-19,cot,QQQ,1.0
2023-07-20,cot,QQQ,1.0
2023-07-21,cot,QQQ,1.0
2023-07-24,cot,QQQ,0.5
2023-07-24,cot,GLD,0.4425
2023-07-24,cot,SHY,0.0575
2023-07-25,cot,QQQ,0.5
2023-07-25,cot,GLD,0.4425
2023-07-25,cot,SHY,0.0575
2023-07-26,cot,QQQ,0.5
2023-07-26,cot,GLD,0.4425
2023-07-26,cot,SHY,0.0575
2023-07-27,cot,QQQ,0.5
2023-07-27,cot,GLD,0.4425
2023-07-27,cot,SHY,0.0575
2023-07-28,cot,QQQ,0.5
2023-07-28,cot,GLD,0.4425
2023-07-28,cot,SHY,0.0575
2023-07-31,cot,QQQ,1.0
2023-08-01,cot,QQQ,1.0
2023-08-02,cot,QQQ,1.0
2023-08-03,cot,QQQ,1.0
2023-08-04,cot,QQQ,1.0
2023-08-07,cot,QQQ,1.0
2023-08-08,cot,QQQ,1.0
2023-08-09,cot,QQQ,1.0
2023-08-10,cot,QQQ,1.0
2023-08-11,cot,QQQ,1.0
2023-08-14,cot,QQQ,1.0
2023-08-15,cot,QQQ,1.0
2023-08-16,cot,QQQ,1.0
2023-08-17,cot,QQQ,1.0
2023-08-18,cot,QQQ,1.0
2023-08-21,cot,QQQ,1.0
2023-08-22,cot,QQQ,1.0
2023-08-23,cot,QQQ,1.0
2023-08-24,cot,QQQ,1.0
2023-08-25,cot,QQQ,1.0
2023-08-28,cot,QQQ,1.0
2023-08-29,cot,QQQ,1.0
2023-08-30,cot,QQQ,1.0
2023-08-31,cot,QQQ,1.0
2023-09-01,cot,QQQ,1.0
2023-09-05,cot,QQQ,1.0
2023-09-06,cot,QQQ,1.0
2023-09-07,cot,QQQ,1.0
2023-09-08,cot,QQQ,1.0
2023-09-11,cot,QQQ,0.5
2023-09-11,cot,GLD,0.4425
2023-09-11,cot,SHY,0.0575
2023-09-12,cot,QQQ,0.5
2023-09-12,cot,GLD,0.4425
2023-09-12,cot,SHY,0.0575
2023-09-13,cot,QQQ,0.5
2023-09-13,cot,GLD,0.4425
2023-09-13,cot,SHY,0.0575
2023-09-14,cot,QQQ,0.5
2023-09-14,cot,GLD,0.4425
2023-09-14,cot,SHY,0.0575
2023-09-15,cot,QQQ,0.5
2023-09-15,cot,GLD,0.4425
2023-09-15,cot,SHY,0.0575
2023-09-18,cot,QQQ,1.0
2023-09-19,cot,QQQ,1.0
2023-09-20,cot,QQQ,1.0
2023-09-21,cot,QQQ,1.0
2023-09-22,cot,QQQ,1.0
2023-09-25,cot,QQQ,0.5
2023-09-25,cot,GLD,0.4425
2023-09-25,cot,SHY,0.0575
2023-09-26,cot,QQQ,0.5
2023-09-26,cot,GLD,0.4425
2023-09-26,cot,SHY,0.0575
2023-09-27,cot,QQQ,0.5
2023-09-27,cot,GLD,0.4425
2023-09-27,cot,SHY,0.0575
2023-09-28,cot,QQQ,0.5
2023-09-28,cot,GLD,0.4425
2023-09-28,cot,SHY,0.0575
2023-09-29,cot,QQQ,0.5
2023-09-29,cot,GLD,0.4425
2023-09-29,cot,SHY,0.0575
2023-10-02,cot,QQQ,1.0
2023-10-03,cot,QQQ,1.0
2023-10-04,cot,QQQ,1.0
2023-10-05,cot,QQQ,1.0
2023-10-06,cot,QQQ,1.0
2023-10-09,cot,QQQ,1.0
2023-10-10,cot,QQQ,1.0
2023-10-11,cot,QQQ,1.0
2023-10-12,cot,QQQ,1.0
2023-10-13,cot,QQQ,1.0
2023-10-16,cot,QQQ,1.0
2023-10-17,cot,QQQ,1.0
2023-10-18,cot,QQQ,1.0
2023-10-19,cot,QQQ,1.0
2023-10-20,cot,QQQ,1.0
2023-10-23,cot,QQQ,1.0
2023-10-24,cot,QQQ,1.0
2023-10-25,cot,QQQ,1.0
2023-10-26,cot,QQQ,1.0
2023-10-27,cot,QQQ,1.0
2023-10-30,cot,QQQ,1.0
2023-10-31,cot,QQQ,1.0
2023-11-01,cot,QQQ,1.0
2023-11-02,cot,QQQ,1.0
2023-11-03,cot,QQQ,1.0
2023-11-06,cot,QQQ,1.0
2023-11-07,cot,QQQ,1.0
2023-11-08,cot,QQQ,1.0
2023-11-09,cot,QQQ,1.0
2023-11-10,cot,QQQ,1.0
2023-11-13,cot,QQQ,1.0
2023-11-14,cot,QQQ,1.0
2023-11-15,cot,QQQ,1.0
2023-11-16,cot,QQQ,1.0
2023-11-17,cot,QQQ,1.0
2023-11-20,cot,QQQ,1.0
2023-11-21,cot,QQQ,1.0
2023-11-22,cot,QQQ,1.0
2023-11-24,cot,QQQ,1.0
2023-11-27,cot,QQQ,1.0
2023-11-28,cot,QQQ,1.0
2023-11-29,cot,QQQ,1.0
2023-11-30,cot,QQQ,1.0
2023-12-01,cot,QQQ,1.0
2023-12-04,cot,QQQ,1.0
2023-12-05,cot,QQQ,1.0
2023-12-06,cot,QQQ,1.0
2023-12-07,cot,QQQ,1.0
2023-12-08,cot,QQQ,1.0
2023-12-11,cot,QQQ,1.0
2023-12-12,cot,QQQ,1.0
2023-12-13,cot,QQQ,1.0
2023-12-14,cot,QQQ,1.0
2023-12-15,cot,QQQ,1.0
