Symbol,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AORT,0.10324686297330293,0.06991972493150352,0.060962865755178605,0.16720150190951763,0.10846560392745325,0.08543157194877075,0.045065388617083056,0.09182082761932522,0.1451591718351466,0.06163535491601283,0.28047161408952853,0.12273486011767233
SBOW,0.08619738990580963,0.08807281473227456,0.17172596890617586,0.14835682635653247,0.32211312188412144,0.28935971713423686,0.3699509256912949,0.17081575741533153,0.3466355556231827,0.18321723993299563,0.06559510288683512,0.06300583797250395
HCI,0.22806301075045546,0.08597745206912483,0.08426980351687174,0.019466947433173717,0.1173863442568923,0.12606343017040417,0.0035526406947197302,0.21136993013609126,0.10779113239963516,0.13779078579055914,0.3121743765391925,0.16671032942322844
CVIIU,0.014731487492612608,0.0050319477844526055,0.010744496876005311,0.0119700661125613,0.01269820680295207,0.025558542223517177,0.003702484980973404,0.011547227775186278,0.001549282601009091,0.0032793051634460633,0.004497844284150006,0.00100097873289037
GYRE,0.07997255162083908,0.21525965156739896,0.16913551023097248,0.1288338718928976,0.864597755080639,0.29482708256919016,0.07486866232683023,0.201018178529062,0.36051331275570936,0.13979308539925672,1.64771758673488,0.16740942613391155
PCT,0.3097012536208878,0.35904070434541974,0.03852191405253251,0.11627578856615801,0.2068586605427803,0.2921871903031618,0.25671226039978634,0.22527411973725386,0.15336030805381476,0.12918997991910322,0.04308978610106516,0.12219947590864655
ATRC,0.015878671868092702,0.08961262336470799,0.10459586252944686,0.19451474137067556,0.10305530943318049,0.09479880923798573,0.0728515571102625,0.05380263108118532,0.05929834027647758,0.16591213498723262,0.12364333593900269,0.06361227246176848
AHH,0.09411404900057292,0.10399578528159283,0.051943939157368765,0.06539440980565492,0.058879260428158046,0.054391599080876735,0.0643668006682528,0.06456576841347972,0.10844499972443276,0.07801437800649803,0.04408780461423821,0.09794071601799685
INVA,0.04125765306085083,0.144266907939434,0.04087280277645673,0.06752164039500276,0.1298209123844247,0.0340247804928801,0.05171771122237314,0.08556409475307503,0.10781994350123421,0.10677619338344468,0.08836876182384955,0.08029948851122505
ECPG,0.09018046479002137,0.04878077394750909,0.014894736593281726,0.053514674979410225,0.14256996170047528,0.09086302937532556,0.12829019497119276,0.14281481079936367,0.10342818658304184,0.18457759836637863,0.09973370823734598,0.09174528524238126
SAVA,0.05817960873208407,0.04500573546243365,0.05688988471309636,0.2408736681976861,0.22635156814412177,0.3189607551869167,0.16370805181039697,0.40404738327600875,0.4214025350300896,0.26234757041239465,0.14695406181283177,0.14408780635010643
HUYA,0.2921250800615046,0.20366870181278773,0.2624836826215546,0.039968039405664006,0.12180206829012141,0.18744103343041527,0.1168466220127187,0.11212728485648091,0.19892114280194462,0.13011486308403766,0.22853882965750869,0.3215615115554694
NXRT,0.14375316056681742,0.06579141278359518,0.10616074852072008,0.053425582593700394,0.1090777121457699,0.11293903672488462,0.08930214823949152,0.1546282874399131,0.05523187801004002,0.15290181943668377,0.04293082286482806,0.12998502811735033
BLX,0.04797155615011411,0.11295440813027753,0.05468266975346062,0.04455065411494665,0.023162711565881386,0.10005190558717797,0.014263861540502114,0.023404374793503296,0.07607397903194299,0.08895069239699677,0.09153482663761928,0.020995843599714452
PLYM,0.14917421150888677,0.03671809588408866,0.04033539016320142,0.09442243724275544,0.10306166474154677,0.08985470825852156,0.08333207711465984,0.02366013274346757,0.0730467307856645,0.0924401127486562,0.03668230099861529,0.09782929668520961
GABC,0.008487441478074715,0.037100794877963465,0.12651861211836934,0.028730932218016342,0.059072108428929127,0.06718823080343515,0.04876598190500169,0.005705016894068279,0.05269560549540237,0.04975824864241701,0.03137811103395791,0.09641549237674664
BCYC,0.08633016203442827,0.32062065665700634,0.03666268922036607,0.22258411031719538,0.21742878159815185,0.02955503081558543,0.23506158652067916,0.1400328123661866,0.1536150767439651,0.24685421298551277,0.10713566800973134,0.11678583007219906
GPRE,0.1696486880576396,0.037679031315536536,0.09888632071209817,0.11678527876944704,0.1635854800845938,0.13746071106174945,0.14596718076577408,0.07641409214108347,0.0924037116875696,0.10279549364973281,0.17472277288945515,0.07135468981095926
