da,strategy_name,code,weight
2022-08-30,capex,BIIB,0.6475884459105961
2022-08-30,capex,AVGO,0.35241155408940406
2022-08-31,capex,BIIB,0.6475884459105961
2022-08-31,capex,AVGO,0.35241155408940406
2022-09-01,capex,AAPL,0.0
2022-09-02,capex,AAPL,0.0
2022-09-06,capex,AAPL,0.0
2022-09-07,capex,AAPL,0.0
2022-09-08,capex,AAPL,0.0
2022-09-09,capex,AAPL,0.0
2022-09-12,capex,AAPL,0.0
2022-09-13,capex,AAPL,0.0
2022-09-14,capex,AAPL,0.0
2022-09-15,capex,AAPL,0.0
2022-09-16,capex,AAPL,0.0
2022-09-19,capex,AAPL,0.0
2022-09-20,capex,AAPL,0.0
2022-09-21,capex,AAPL,0.0
2022-09-22,capex,AAPL,0.0
2022-09-23,capex,AAPL,0.0
2022-09-26,capex,AAPL,0.0
2022-09-27,capex,AAPL,0.0
2022-09-28,capex,AAPL,0.0
2022-09-29,capex,AAPL,0.0
2022-09-30,capex,AAPL,0.0
2022-10-03,capex,AVGO,0.35241155408940406
2022-10-03,capex,BIIB,0.6475884459105961
2022-10-04,capex,AVGO,0.35241155408940406
2022-10-04,capex,BIIB,0.6475884459105961
2022-10-05,capex,AVGO,0.35241155408940406
2022-10-05,capex,BIIB,0.6475884459105961
2022-10-06,capex,AVGO,0.35241155408940406
2022-10-06,capex,BIIB,0.6475884459105961
2022-10-07,capex,AVGO,0.35241155408940406
2022-10-07,capex,BIIB,0.6475884459105961
2022-10-10,capex,AVGO,0.35241155408940406
2022-10-10,capex,BIIB,0.6475884459105961
2022-10-11,capex,AVGO,0.35241155408940406
2022-10-11,capex,BIIB,0.6475884459105961
2022-10-12,capex,AVGO,0.35241155408940406
2022-10-12,capex,BIIB,0.6475884459105961
2022-10-13,capex,AVGO,0.35241155408940406
2022-10-13,capex,BIIB,0.6475884459105961
2022-10-14,capex,AVGO,0.35241155408940406
2022-10-14,capex,BIIB,0.6475884459105961
2022-10-17,capex,AVGO,0.35241155408940406
2022-10-17,capex,BIIB,0.6475884459105961
2022-10-18,capex,AVGO,0.35241155408940406
2022-10-18,capex,BIIB,0.6475884459105961
2022-10-19,capex,AVGO,0.35241155408940406
2022-10-19,capex,BIIB,0.6475884459105961
2022-10-20,capex,AVGO,0.35241155408940406
2022-10-20,capex,BIIB,0.6475884459105961
2022-10-21,capex,AVGO,0.35241155408940406
2022-10-21,capex,BIIB,0.6475884459105961
2022-10-24,capex,AVGO,0.35241155408940406
2022-10-24,capex,BIIB,0.6475884459105961
2022-10-25,capex,AVGO,0.35241155408940406
2022-10-25,capex,BIIB,0.6475884459105961
2022-10-26,capex,AVGO,0.35241155408940406
2022-10-26,capex,BIIB,0.6475884459105961
2022-10-27,capex,AVGO,0.35241155408940406
2022-10-27,capex,BIIB,0.6475884459105961
2022-10-28,capex,AVGO,0.35241155408940406
2022-10-28,capex,BIIB,0.6475884459105961
2022-10-31,capex,AVGO,0.35241155408940406
2022-10-31,capex,BIIB,0.6475884459105961
2022-11-01,capex,AVGO,0.35241155408940406
2022-11-01,capex,BIIB,0.6475884459105961
2022-11-02,capex,AVGO,0.35241155408940406
2022-11-02,capex,BIIB,0.6475884459105961
2022-11-03,capex,AVGO,0.35241155408940406
2022-11-03,capex,BIIB,0.6475884459105961
2022-11-04,capex,AVGO,0.35241155408940406
2022-11-04,capex,BIIB,0.6475884459105961
2022-11-07,capex,AVGO,0.35241155408940406
2022-11-07,capex,BIIB,0.6475884459105961
2022-11-08,capex,AVGO,0.35241155408940406
2022-11-08,capex,BIIB,0.6475884459105961
2022-11-09,capex,AVGO,0.35241155408940406
2022-11-09,capex,BIIB,0.6475884459105961
2022-11-10,capex,AVGO,0.35241155408940406
2022-11-10,capex,BIIB,0.6475884459105961
2022-11-11,capex,AVGO,0.35241155408940406
2022-11-11,capex,BIIB,0.6475884459105961
2022-11-14,capex,AVGO,0.35241155408940406
2022-11-14,capex,BIIB,0.6475884459105961
2022-11-15,capex,AVGO,0.35241155408940406
2022-11-15,capex,BIIB,0.6475884459105961
2022-11-16,capex,AVGO,0.35241155408940406
2022-11-16,capex,BIIB,0.6475884459105961
2022-11-17,capex,AVGO,0.35241155408940406
2022-11-17,capex,BIIB,0.6475884459105961
2022-11-18,capex,AVGO,0.35241155408940406
2022-11-18,capex,BIIB,0.6475884459105961
2022-11-21,capex,AVGO,0.35241155408940406
2022-11-21,capex,BIIB,0.6475884459105961
2022-11-22,capex,AVGO,0.35241155408940406
2022-11-22,capex,BIIB,0.6475884459105961
2022-11-23,capex,AVGO,0.35241155408940406
2022-11-23,capex,BIIB,0.6475884459105961
2022-11-25,capex,AVGO,0.35241155408940406
2022-11-25,capex,BIIB,0.6475884459105961
2022-11-28,capex,AVGO,0.35241155408940406
2022-11-28,capex,BIIB,0.6475884459105961
2022-11-29,capex,AVGO,0.35241155408940406
2022-11-29,capex,BIIB,0.6475884459105961
2022-11-30,capex,AVGO,0.35241155408940406
2022-11-30,capex,BIIB,0.6475884459105961
2022-12-01,capex,AVGO,0.35241155408940406
2022-12-01,capex,BIIB,0.6475884459105961
2022-12-02,capex,AVGO,0.35241155408940406
2022-12-02,capex,BIIB,0.6475884459105961
2022-12-05,capex,AVGO,0.35241155408940406
2022-12-05,capex,BIIB,0.6475884459105961
2022-12-06,capex,AVGO,0.35241155408940406
2022-12-06,capex,BIIB,0.6475884459105961
2022-12-07,capex,AVGO,0.35241155408940406
2022-12-07,capex,BIIB,0.6475884459105961
2022-12-08,capex,AVGO,0.35241155408940406
2022-12-08,capex,BIIB,0.6475884459105961
2022-12-09,capex,AVGO,0.35241155408940406
2022-12-09,capex,BIIB,0.6475884459105961
2022-12-12,capex,AVGO,0.35241155408940406
2022-12-12,capex,BIIB,0.6475884459105961
2022-12-13,capex,AVGO,0.35241155408940406
2022-12-13,capex,BIIB,0.6475884459105961
2022-12-14,capex,AVGO,0.35241155408940406
2022-12-14,capex,BIIB,0.6475884459105961
2022-12-15,capex,AVGO,0.35241155408940406
2022-12-15,capex,BIIB,0.6475884459105961
2022-12-16,capex,AVGO,0.35241155408940406
2022-12-16,capex,BIIB,0.6475884459105961
2022-12-19,capex,AVGO,0.35241155408940406
2022-12-19,capex,BIIB,0.6475884459105961
2022-12-20,capex,AVGO,0.35241155408940406
2022-12-20,capex,BIIB,0.6475884459105961
2022-12-21,capex,AVGO,0.35241155408940406
2022-12-21,capex,BIIB,0.6475884459105961
2022-12-22,capex,AVGO,0.35241155408940406
2022-12-22,capex,BIIB,0.6475884459105961
2022-12-23,capex,AVGO,0.35241155408940406
2022-12-23,capex,BIIB,0.6475884459105961
2022-12-27,capex,AVGO,0.35241155408940406
2022-12-27,capex,BIIB,0.6475884459105961
2022-12-28,capex,AVGO,0.35241155408940406
2022-12-28,capex,BIIB,0.6475884459105961
2022-12-29,capex,AVGO,0.35241155408940406
2022-12-29,capex,BIIB,0.6475884459105961
2022-12-30,capex,AVGO,0.35241155408940406
