Date,WILL5000PRFC,GDP,BuffetIndicator
2022-11-14,39438.76171875,26734.277,1.4752133270239551
2022-11-15,39844.30078125,26734.277,1.490382581928436
2022-11-16,39433.5703125,26734.277,1.4750191416248137
2022-11-17,39263.7890625,26734.277,1.4686684462235504
2022-11-18,39439.890625,26734.277,1.475255553946718
2022-11-21,39247.66015625,26734.277,1.468065141849544
2022-11-22,39779.73046875,26734.277,1.487967318837536
2022-11-23,40013.55859375,26734.277,1.4967136980644737
2022-11-25,40018.87890625,26734.277,1.4969127052229616
2022-11-28,39387.609375,26734.277,1.4732999652468628
2022-11-29,39348.53125,26734.277,1.4718382415952376
2022-11-30,40552.421875,26734.277,1.5168699671586408
2022-12-01,40534.41015625,26734.277,1.5161962358753895
2022-12-02,40504.140625,26734.277,1.5150639991124504
2022-12-05,39695.1015625,26734.277,1.484801760769517
2022-12-06,39109.66015625,26734.277,1.462903229298103
2022-12-07,39020.671875,26734.277,1.4595746080958165
2022-12-08,39313.4296875,26734.277,1.4705252619137597
2022-12-09,39011.9609375,26734.277,1.4592487740551203
2022-12-12,39568.921875,26734.277,1.4800819889387695
2022-12-13,39851.87109375,26734.277,1.4906657507046106
2022-12-14,39619.01953125,26734.277,1.4819558999575715
2022-12-15,38627.55078125,26734.277,1.4448698493417271
2022-12-16,38217.0,26734.277,1.4295131302784063
2022-12-19,37834.23046875,26734.277,1.415195573411243
2022-12-20,37891.23828125,26734.277,1.4173279599538078
2022-12-21,38462.921875,26734.277,1.4387118782004094
2022-12-22,37899.75,26734.277,1.4176463421846046
2022-12-23,38110.421875,26734.277,1.4255265580961851
2022-12-27,37931.73828125,26734.277,1.4188428690721653
2022-12-28,37460.91015625,26734.277,1.401231466115579
2022-12-29,38159.328125,26734.277,1.4273559043695105
2022-12-30,38073.94140625,26734.277,1.4241620002010902
2023-01-03,37900.25,27164.359,1.395219743635401
2023-01-04,38209.48828125,27164.359,1.406603714862184
2023-01-05,37782.8984375,27164.359,1.3908996872519612
2023-01-06,38630.69140625,27164.359,1.4221094415020064
2023-01-09,38648.30078125,27164.359,1.422757694420472
2023-01-10,38950.46875,27164.359,1.4338813866360698
2023-01-11,39470.4296875,27164.359,1.4530226790000824
2023-01-12,39663.08984375,27164.359,1.4601150663540414
2023-01-13,39834.1015625,27164.359,1.4664105110118741
2023-01-17,39774.1484375,27164.359,1.4642034600374705
2023-01-18,39167.359375,27164.359,1.441865768855433
2023-01-19,38840.6796875,27164.359,1.429839728134207
2023-01-20,39585.9296875,27164.359,1.4572745739187145
2023-01-23,40088.37890625,27164.359,1.4757712083782282
2023-01-24,40039.5390625,27164.359,1.473973269993229
2023-01-25,40046.19140625,27164.359,1.4742181623446369
2023-01-26,40483.7109375,27164.359,1.4903245439180066
2023-01-27,40638.23828125,27164.359,1.4960131502182694
2023-01-30,40084.66015625,27164.359,1.4756343102463783
2023-01-31,40724.9609375,27164.359,1.4992056664212101
2023-02-01,41198.33984375,27164.359,1.5166321371231326
2023-02-02,41832.3203125,27164.359,1.539970823994043
2023-02-03,41385.359375,27164.359,1.523516876470378
2023-02-06,41087.859375,27164.359,1.512565025922386
2023-02-07,41584.4296875,27164.359,1.5308452405411075
2023-02-08,41117.98828125,27164.359,1.5136741596313759
2023-02-09,40730.171875,27164.359,1.4993974963664705
2023-02-10,40790.3984375,27164.359,1.5016146133799808
2023-02-13,41255.16015625,27164.359,1.5187238600494861
2023-02-14,41292.578125,27164.359,1.5201013256009464
2023-02-15,41490.01953125,27164.359,1.5273697248387124
2023-02-16,40938.76171875,27164.359,1.5070763023986689
2023-02-17,40819.55859375,27164.359,1.5026880845504214
2023-02-21,39949.46875,27164.359,1.4706575167115115
2023-02-22,39926.1484375,27164.359,1.4697990273762764
2023-02-23,40120.140625,27164.359,1.4769404507207404
