,Symbol,Rironkabuka
1366,3692,2291
1367,4619,3134
1368,7607,3743
1369,9991,2430
1370,8541,899
1371,4685,11022
1372,9739,4547
1373,286A,687
1374,8708,1177
1375,2998,2563
1376,7949,3251
1377,350A,0
1378,6330,772
1379,2429,4636
1380,1945,1794
1381,3688,1036
1382,4094,2335
1383,9932,2275
1384,2737,9949
1385,9619,3933
1386,2705,3629
1387,9795,3510
1388,5702,1248
1389,1887,632
1390,9837,1719
1391,3791,1227
1392,2923,5171
1393,3916,4226
1394,8699,1080
1395,7033,5314
1396,7244,775
1397,8008,1826
1398,3153,3078
1399,8217,1316
1400,7609,7009
1401,6768,705
1402,5959,1416
1403,2676,2845
1404,4548,858
1405,7749,4494
1406,255A,6968
1407,5038,3254
1408,4970,3819
1409,3183,1186
1410,4658,1499
1411,4743,2589
1412,4593,12
1413,2217,886
1414,4377,2405
1415,2475,2884
1416,8864,1122
1417,7280,1461
1418,9368,1516
1419,6140,1113
1420,256A,2812
1421,8137,3119
1422,8005,2143
1423,7229,4240
1424,3475,3246
1425,7438,2125
1426,8550,253
1427,9284,0
1428,3915,1786
1429,4771,3534
1430,6480,630
1431,9441,2796
1432,6617,4586
1433,5408,962
1434,2060,1908
1435,3333,2840
1436,9740,3764
1437,2221,3925
1438,5989,4800
1439,2820,2769
1440,7937,3844
1441,6879,621
1442,5464,1737
1443,4464,2876
1444,2305,2201
1445,7715,4265
1446,7605,5029
1447,7414,2116
1448,3139,4614
1449,166A,1901
1450,8275,1901
1451,5288,1906
1452,8081,2892
1453,9856,3360
1454,8395,1857
1455,8011,4078
1456,5563,374
1457,4393,12615
1458,2207,2683
1459,4725,1788
1460,8142,9623
1461,1869,2483
1462,341A,641
1463,6625,134
1464,9629,1643
1465,6247,2015
1466,9896,2423
1467,9742,2460
1468,6637,5610
1469,4709,3903
1470,3486,5227
1471,9942,1181
1472,7596,1949
1473,2763,3999
1474,4249,4217
1475,1813,2979
1476,3193,4207
1477,4763,3996
1478,4611,1844
1479,2612,4946
1480,5659,1457
1481,4345,1510
1482,6809,2052
1483,8151,1452
1484,6547,8147
1485,5121,3517
1486,7198,643
1487,1810,1840
1488,5541,2220
1489,4992,2700
1490,6231,17476
1491,7723,4193
1492,1930,1939
1493,9628,2662
1494,4461,6419
1495,2209,2927
1496,2148,1906
1497,5976,1553
1498,6223,2104
1499,3798,10275
1500,3694,410
1501,6817,1459
1502,6788,5980
1503,6145,1917
1504,8614,310
1505,7467,6623
1506,2108,3022
1507,8622,566
1508,4259,60
1509,2975,1228
1510,4826,489
1511,3922,6850
1512,4813,0
1513,6430,4835
1514,4951,1793
1515,9338,3132
1516,7500,14141
1517,6272,2251
1518,5027,251
1519,6535,1012
1520,2902,4922
1521,7989,3334
1522,3199,1869
1523,2669,4218
1524,4554,2076
1525,6676,3465
1526,9204,347
1527,7769,3111
1528,8141,1251
1529,8065,2853
1530,1811,4719
1531,176A,2287
1532,3763,3638
1533,9158,1737
1534,2393,2044
1535,4792,2909
1536,4390,4441
1537,3546,1398
1538,6222,1203
1539,4577,2983
1540,5757,10137
1541,2831,4484
1542,3771,3634
1543,1793,1661
1544,6742,850
1545,5254,1998
1546,3580,1005
1547,9726,2697
1548,2915,3850
1549,6151,2519
1550,2780,7778
1551,7373,4203
1552,6794,2596
1553,6823,4992
1554,2498,7026
1555,6071,1299
1556,3159,463
1557,7102,3639
1558,6249,5297
1559,2753,1959
1560,7326,3492
1561,2533,678
1562,2294,2596
1563,336A,265
1564,4439,3456
1565,8038,11043
1566,4462,3865
1567,4933,4059
1568,9308,955
1569,9640,1753
1570,2418,1665
1571,4310,1242
1572,3843,3169
1573,6418,889
1574,4847,1217
1575,2462,2671
1576,6030,3735
1577,3864,980
1578,6932,4437
1579,3984,2267
1580,6369,5757
1581,9600,2079
1582,7717,4668
1583,6824,5797
1584,9622,1914
1585,1909,10995
1586,7510,2846
1587,7893,1281
1588,6144,2780
