symbol,maxBalance,signal,wrSl,profitPerDay,maxLimit,maxSlLimit,wr
VO,1.3186554803885064,0,0.2545454545454545,0.009094175726817286,-0.78061,0.57,0.75
MJ,1.318415969955244,0,1.0,0.04708628464125871,-1.883,1.31,1.0
ISRL,1.3182415074805598,0,0.7,0.011267021431457776,0.75961,0.2,0.6666666666666666
NEOV,1.317801530621228,0,0.5384615384615384,0.054908397109217834,-1.9231,0.08,0.5
FIXX,1.3177855483915288,0,0.6363636363636364,0.06935713412586994,-1.99847,0.11,0.6666666666666666
ZCMD,1.3173741988809098,0,1.0,0.10133647683699307,-2.03622,0.24,1.0
ELAN,1.3173197070938107,0,0.6923076923076923,0.045424817485993474,-1.87268,0.36,0.6666666666666666
AGIO,1.3170418148788587,0,0.2857142857142857,0.04877932647699477,-1.8955,0.12,1.0
KGS,1.3169799582787043,0,0.5384615384615384,0.01567833283665124,0.96101,0.45,1.0
2305,1.316725845564077,0,0.7142857142857143,0.008837086211839443,-0.73936,73.0,0.7692307692307693
YI,1.316509533899618,0,0.8,0.10970912782496817,-2.06622,0.25,1.0
POWW,1.3162271589339158,0,0.22950819672131148,0.01731877840702521,-1.06292,0.03,0.5
GIA,1.3161848178903615,0,0.5535714285714286,0.002669746080913512,1.26149,0.04,1.0
FWRG,1.3161341831738418,0,0.43333333333333335,0.021227970696352287,-1.11042,0.39,1.0
MESA,1.3156027331815738,0,0.375,0.05980012423552608,-1.95876,0.03,1.0
7241,1.3154497594779158,0,1.0,0.05261799037911663,-1.883,99.0,1.0
7956,1.3153952508419204,0,0.8,0.05719109786269219,-1.91813,31.0,1.0
SURI,1.3153163273739235,0,0.475,0.012770061430814791,0.72287,0.03,0.6666666666666666
KIND,1.3151780308737286,0,0.8,0.06575890154368644,-1.99371,0.19,0.6666666666666666
GHIXU,1.315096226834967,0,0.5833333333333334,0.009962850203295206,-0.66369,0.07,0.3333333333333333
MCAA,1.3150006870900943,0,0.7142857142857143,0.0028901114001980096,1.23686,0.03,1.0
ENG,1.3146853129299159,0,0.75,0.04382284376433053,-1.87182,0.2,0.6666666666666666
EOCT,1.3146540206091388,0,0.5,0.011047512778228057,-0.8014,0.07,0.75
PLTK,1.3144543033625007,0,1.0,0.04532601046077588,-1.88032,1.82,1.0
XLSR,1.3143551085401053,0,0.5625,0.009064517989931761,-0.78061,0.57,0.75
ATIP,1.3141450417720262,0,0.2608695652173913,0.045315346268000906,-1.87268,0.5,1.0
5713,1.3139756017577355,0,0.6,0.06915661061882819,-1.97073,198.0,1.0
SNOW,1.313579433850807,0,0.21739130434782608,0.0469135512089574,-1.883,1.36,0.5
3087,1.3133209437550128,0,0.75,0.007462050816789845,-0.67986,136.0,0.8181818181818182
ILF,1.3131411772429984,0,1.0,0.046897899187249945,-1.883,0.69,0.5
MOS,1.3130612830379103,0,0.4782608695652174,0.037516036658226004,-1.79227,1.1,1.0
6470,1.3129329544282347,0,0.52,0.021523491056200567,-1.11194,12.0,0.75
SDG,1.3127470385706754,0,0.3902439024390244,0.009053427852211554,-0.78061,0.36,0.75
INNO,1.312683107603646,0,0.47058823529411764,0.046881539557273075,-1.883,0.04,1.0
LASR,1.3125369900820747,0,0.4375,0.05966077227645794,-1.95876,0.16,1.0
TRIS,1.3124699385021774,0,0.6363636363636364,0.0027806566493690198,1.26149,0.03,1.0
RVNC,1.3122808518838653,0,0.6,0.04525106385806432,-1.88032,1.56,1.0
7049,1.3122462915535724,0,0.6666666666666666,0.07290257175297625,-1.97471,177.0,0.6666666666666666
3148,1.3121952868342617,0,0.41333333333333333,0.009508661498798998,-0.76698,25.0,0.45454545454545453
MHH,1.3121550057581135,0,0.2,0.04232758083090689,-1.82067,0.05,0.6666666666666666
MJUS,1.3120071200322487,0,0.8333333333333334,0.08200044500201555,-2.00902,0.09,1.0
9130,1.3117784142982925,0,0.8333333333333334,0.057033844099925755,-1.91994,47.0,1.0
4267,1.3116680191264938,0,0.5625,0.048580297004684955,-1.85227,20.0,0.6666666666666666
ST,1.3115490138191903,0,0.17647058823529413,0.00904516561254614,-0.78061,0.18,0.75
ADC,1.3113506992686044,0,0.4838709677419355,0.010490805594148835,-0.86552,0.57,0.8
ALOR,1.3113435068345352,0,0.7272727272727273,0.003270183308814302,0.89951,0.09,1.0
CRDF,1.3113155371017213,0,0.6666666666666666,0.06556577685508606,-1.99371,0.07,1.0
CGW,1.311209053597399,0,0.26,0.009042821059292407,-0.78061,0.12,0.75
DBMF,1.310763590359877,0,0.4528301886792453,0.016591944181770596,-1.03687,0.12,0.6666666666666666
AMTI,1.310746969693788,0,0.6666666666666666,0.04681239177477814,-1.883,0.4,0.5
RXL,1.3106916715766987,0,0.4666666666666667,0.045196264537127544,-1.87268,0.42,0.6666666666666666
INFA,1.310625223985299,0,0.5555555555555556,0.046808043713760676,-1.883,0.22,0.5
