Symbol,Sharpe,Length
ENLC,1.024095675559347,553
FIX,1.0237683186911088,553
6707,1.0237112973171607,537
CPRX,1.022433606642605,553
TWNK,1.0210901207884886,553
AIB,1.019944318561386,317
7126,1.019209356380993,432
TNK,1.0182280372363115,553
BSM,1.0181104337588502,553
2195,1.0180054706950459,537
6363,1.0171839224114407,537
WIRE,1.0168822752062152,553
7380,1.0165772027303266,406
3306,1.0153193484385266,537
3321,1.013799168336909,537
STRL,1.0131748937409353,553
2813,1.0130556339593366,537
8098,1.011091954931646,537
1518,1.0105020081037308,537
8914,1.0102910341687763,537
PWR,1.0099831306688343,553
5444,1.0095056634141881,537
RELL,1.0052538932171844,553
LPG,1.0038603504912391,553
7095,1.0004257954496845,537
2481,0.9985500759173077,537
6866,0.9981495765215133,537
3992,0.994623642443632,537
5999,0.9946152768227411,537
5195,0.9945054544602445,537
9029,0.9942834846473181,537
COKE,0.992845079010875,553
SBOW,0.9911613607625666,553
IMO,0.9908859538235082,553
CRT,0.9902628006514721,553
YPF,0.9885272020749045,553
SIM,0.9884480405435321,553
EPM,0.9882691305996518,553
PLPC,0.9823192464097223,553
9696,0.9806390231019095,537
JILL,0.9805887719077682,553
7859,0.9773619286426746,537
4979,0.9757302088371913,537
CNQ,0.9741298857549553,553
4966,0.9739682786225943,537
VRTV,0.972299887043473,553
1605,0.9705164882026784,537
KBR,0.9702344675238619,553
6565,0.9698787554537,537
ASCB,0.9694475146676437,250
DEN,0.9660019495412954,553
9778,0.9642126399172838,537
ASC,0.9604192162977516,553
CRVL,0.9596009728480429,553
INSW,0.9577996023691128,553
3608,0.9577460032633993,537
LNG,0.9574624878803472,553
6036,0.957287192627343,537
AJG,0.9569352855228905,553
SUN,0.9563772846571521,553
GNE,0.9554440166577319,553
3431,0.95540499125916,537
9272,0.9549535780722476,537
CPSS,0.9541215549756594,553
7184,0.9539881557540247,537
7995,0.9530373697622898,537
DCP,0.9515634069187833,553
MCAA,0.9514058759722958,355
BBW,0.9511834482784569,553
3496,0.9509970307737944,537
GCBC,0.9500119302683679,553
PBF,0.9477593645116813,553
NOG,0.9460297917571365,553
ET,0.9435011881739597,553
5290,0.9432591713771675,537
6632,0.9394617140245523,537
5941,0.9386363299787475,537
BELFA,0.9376896520286044,553
7480,0.93647232309729,537
COP,0.9360768661538689,553
DVN,0.9355614508125829,553
AMX,0.9320612803151415,553
BDC,0.9312658760022312,553
IT,0.9308390770397428,553
JAKK,0.9306782836200885,553
1662,0.9279828950000173,537
SNPS,0.9274374074571811,553
5351,0.9266369122660334,537
7912,0.9259371128922651,537
HUDI,0.925346698725986,553
7199,0.9244033773737396,537
1775,0.9231552069477842,537
7927,0.9230008218790724,537
7812,0.9229908902173312,537
JBL,0.9219125480112198,553
4310,0.9213928000142144,537
6040,0.9169519609309957,537
BELFB,0.9169115715597109,553
6419,0.9154179416829081,537
6547,0.9143202419278688,537
7879,0.9139211028405961,537
AFAR,0.9137174447475772,247
MRO,0.9130440461076879,553
5967,0.9117686333604531,537
PBR,0.9114130622713025,553
8091,0.910805226120841,537
7187,0.910503832496106,537
5184,0.9103207741753275,537
7868,0.9077686818750066,537
4575,0.907246562389149,537
AMPY,0.9069736433753027,553
ARCH,0.9069381896180592,553
NSSC,0.9057952733553014,553
6857,0.905105669242615,537
SWAV,0.9045970214891249,553
6652,0.9032232260889926,537
7011,0.9025673740354452,537
KRP,0.9009449450636482,553
6016,0.9006326913032531,537
WWE,0.9004547242677295,553
6614,0.8998237134533115,533
MRK,0.8992916355472178,553
2501,0.8977908578133358,537
7906,0.896863002421767,537
6333,0.8957612779326566,537
OXY,0.8949302133492059,553
7246,0.8948638452301242,537
XPOF,0.8939782232680749,465
STLD,0.8931059662966396,553
9824,0.8928286091041858,537
KFS,0.8916874451298944,553
ATS,0.8916134434090952,553
7609,0.8907897386816696,537
AR,0.8898060879196761,553
7562,0.8889796273880426,537
CVE,0.8885091947254662,553
9432,0.887638201338679,537
GWW,0.8873461427962337,553
MMP,0.8858247328037822,553
ESQ,0.885821163121322,553
CIVI,0.8854023607323241,553
BGI,0.8842863023817809,553
7740,0.8831004980233985,537
6226,0.8829039466624262,294
6083,0.8828016634905036,537
ROCC,0.8825461248114805,553
EXLS,0.8813710234453412,553
EVGR,0.8812280073825479,288
COCO,0.8804682633043706,402
9274,0.880423095980907,537
LXU,0.8801336481105339,553
DKL,0.8792415616909591,553
BWMN,0.8790727567966815,518
ON,0.8786999833059305,553
9722,0.8728088589548272,537
AVGO,0.8722732435224422,553
CLMB,0.8716761369604392,553
MUR,0.8706550101591674,553
7878,0.8706234230396113,536
3773,0.8691624599963902,537
MLI,0.8683704090481418,553
2573,0.8675303051638164,537
PR,0.866716985017784,553
7751,0.8664693705940568,537
2267,0.8660707287493368,537
7769,0.8627617963137755,537
8014,0.8627062658729217,537
1975,0.8616916672521021,537
4718,0.8609323908591251,537
6532,0.8599730258690567,537
ATAK,0.8597978722827289,299
MPLX,0.8597524396510646,553
6932,0.8591353806004157,537
HLIT,0.8544139455771779,553
CDNS,0.8542271559204446,553
5101,0.8538474846620733,537
RSG,0.8533000325746642,553
NUE,0.8524551265539194,553
HES,0.8520905164442328,553
8140,0.8492794940776035,537
GRBK,0.8472013785960643,553
