,xt_va_z
319,-1.001321623576948
320,-0.9823276966872548
321,-0.9673124242273335
322,-0.955148505689188
323,-0.9464060356707833
324,-0.9457221913350079
325,-0.8852429114299989
326,-0.7616703890049948
327,-0.6124524368853631
328,-0.5025162489110191
329,-0.5055736499906761
330,-0.6135784169414442
331,-0.7769361536435553
332,-0.935787627237436
333,-1.04952147296683
334,-1.1156596005954584
335,-1.1698698557143379
336,-1.1655208968618695
337,-1.0370635926622418
338,-0.7420096508742102
339,-0.29328322690879555
340,0.15353731509384003
341,0.4367578128991795
342,0.45775801972758423
343,0.2213526500058999
344,-0.16848541287781357
345,-0.5932564816634465
346,-0.9634416619271619
347,-1.237106005588369
348,-1.4191326666724013
349,-1.5348185612166498
350,-1.608028385936225
351,-1.651465677840536
352,-1.668187007688747
353,-1.6647681005078887
354,-1.6578077685849366
355,-1.6709108494798428
356,-1.7183726048710084
357,-1.7968643765156678
358,-1.885311290692437
359,-1.9597072558045092
360,-2.003485240548991
361,-2.008659026739551
362,-1.9757845443082176
363,-1.9164144702140944
364,-1.8496351982942927
365,-1.7894403963504466
366,-1.7445902981308403
367,-1.7144144698058656
368,-1.6980838647882817
369,-1.6927222241423538
370,-1.6894156319255043
371,-1.6798963286734314
372,-1.6524237028415587
373,-1.5965711034402066
374,-1.515987508209117
375,-1.4249678691999481
376,-1.3353001996721985
377,-1.249796986411186
378,-1.1606167451845841
379,-1.057351145106379
380,-0.924596094952815
381,-0.7575726097631291
382,-0.5611691106954462
383,-0.3470263338034865
384,-0.13893574938004818
385,0.04691288041162959
386,0.20525430506058254
387,0.3410213717617756
388,0.4682266952488705
389,0.5935525075097404
390,0.7192755776379075
391,0.8521339948505787
392,1.0000666811059666
393,1.174597137027817
394,1.374429034513232
395,1.5805763052949078
396,1.7664239753648214
397,1.9091519308346718
398,2.003048230499887
399,2.060792478872057
400,2.1012806780076376
401,2.1428576058608826
402,2.189084899397609
403,2.1617446109356306
404,2.0500431256833025
405,1.8925969021361535
406,1.7592662115698015
407,1.727871375378617
408,1.7966864763430805
409,1.8912296870998453
410,1.9584401364700768
411,1.9796324099492437
