Symbol,Balabce,Period
7352,3.0829694323144103,208
EVLO,3.079999937415124,2
MCOM,3.0754716981132075,3
GTHX,3.0720721098057155,14
FDMT,3.0664009972418804,18
4444,3.059299191374663,206
EH,3.05365871926421,25
7214,3.0458970792767732,43
SNAX,3.0449826347335645,6
MVIS,3.0447760769135965,7
PROF,3.03921564960883,24
ATXS,3.0332226389926853,26
HROW,3.03012066924671,89
4393,3.028135431568908,162
TNK,3.025559080121741,174
9127,3.018421052631579,4
BIVI,3.016736285221231,109
ALT,3.0163600005577726,33
TCMD,3.007389214342651,46
IQ,3.00420157628733,31
SONN,2.999999893563135,12
UFPT,2.9906752731632924,253
DHC,2.989690731785251,6
9227,2.9894490035169987,22
GOVX,2.987500086612998,2
MTC,2.9864864995481324,15
FPAY,2.9670329339232753,4
ACLS,2.9663158215974508,365
DADA,2.9658536903068193,30
IBIO,2.9636362907315106,22
EVOK,2.9598306707265594,6
MREO,2.9583333100502682,16
INTT,2.95721266889828,43
JFU,2.957055328688169,14
VAXX,2.9562045084953152,6
EDTXU,2.9529872189894957,160
BIOR,2.951219512195122,27
EBON,2.9494949981468372,9
EZGO,2.948113242359869,33
FFIE,2.9444444953885873,3
MNSO,2.9422065017205385,58
AKU,2.9421769055721523,29
ATXI,2.941176525586755,3
CAR,2.9372131780149995,39
AIMD,2.9285714285714284,2
LUCY,2.9285714103251084,2
7927,2.9264990328820115,132
AI,2.9231275228585765,144
UONEK,2.9217877824194667,13
CLRO,2.915254415365795,23
MOD,2.9107982263268926,217
4216,2.9063545150501673,146
EDRY,2.9025908120344415,18
SAI,2.899224899328214,13
SBOW,2.8989036694855237,17
AGBA,2.886792488195469,2
BMR,2.8846154904224504,2
ATNF,2.883720904443637,3
BLRX,2.8833332505491076,19
ATER,2.8809526026113876,11
AMLX,2.8595507700866856,15
VYGR,2.857638616390813,19
CBIO,2.8571430598797503,8
BAOS,2.8571428265410637,2
EFOI,2.8522727318908556,4
IRNT,2.8518174917920014,5
7072,2.8502415458937196,24
UXIN,2.849624134011747,17
3607,2.847736625514403,140
BTE,2.843137245735541,105
VCIG,2.8409091063028526,2
WVE,2.8409089780215107,13
ASST,2.8396227857997887,2
SCWO,2.8395061056128075,17
MTR,2.8347605925893293,192
ASRT,2.8341233726942465,395
3566,2.8324324324324324,53
2776,2.830508474576271,16
3660,2.830188679245283,207
AVDL,2.8300781435536924,138
UPST,2.8276386835789737,9
FOXO,2.8273809550207556,12
PESI,2.825192667029218,84
2216,2.8189712758851035,196
NRGU,2.8173376306310876,92
PRTA,2.81696450411721,40
RCEL,2.8137254306143484,135
TUSK,2.8137254306143484,124
AKBA,2.8101265421663992,157
ELEV,2.8070176258749857,59
GRCL,2.8057141985212053,8
STG,2.8052141765632688,20
3187,2.8,67
SOUN,2.799999929357459,11
BTBT,2.799999801317859,148
TUYA,2.7991886272403503,17
HNRG,2.7985073929774167,150
JWEL,2.795918403756828,21
NVDA,2.794011563746731,61
NPCE,2.790728643497749,7
7849,2.7904645963312653,99
AMR,2.789506540343502,101
5337,2.787644787644788,74
DAWN,2.7874253469650707,11
ARMP,2.782258081572609,4
CVNA,2.7793634082374226,17
TEDU,2.771551729896406,44
AAOI,2.7714285169328963,8
INTA,2.7690091016564047,100
CWBR,2.765432102399308,7
MOXC,2.76080098997225,21
UNCY,2.759295554718058,2
7878,2.7550335570469797,37
MRKR,2.7543860914964773,31
3992,2.746456692913386,217
AINC,2.744874842190249,12
4439,2.744597249508841,202
7376,2.744107744107744,128
NFGC,2.739189215747869,10
PALT,2.73913042351519,3
CEIX,2.734905540361745,207
JZ,2.7284105120210405,4
CYTH,2.722891609525799,24
CBAY,2.714285748232356,130
ARVL,2.7136363983154297,2
1514,2.713235294117647,201
4310,2.7125890736342044,20
BCAB,2.708771946849219,51
HPK,2.7078970946416936,62
SPRB,2.7042253142759667,12
GMVD,2.7039104512473178,7
4413,2.7032779906343123,98
NCNA,2.701492384617198,4
AMTD,2.7005348544693635,3
4594,2.6984126984126986,2
IMUX,2.6974790740944186,6
LASE,2.6971155477346107,9
NAOV,2.6951220604296906,7
VECT,2.694085805150936,337
6632,2.693121693121693,114
XELA,2.692857142857143,7
OTRK,2.692307668795011,8
AGFY,2.690520484251008,17
7868,2.6902552204176335,86
HUT,2.6896186989679403,41
KTRA,2.6886793004528604,4
ELYS,2.685950329257168,2
ASUR,2.6847014897157524,31
PDSB,2.6832461201900535,25
7610,2.682926829268293,220
ATOS,2.6820512262478555,25
4268,2.6817248459958933,6
AQST,2.679012431983558,23
PEGY,2.676056104701793,3
FATBB,2.6753716551270394,5
CRBP,2.6700000762939453,16
DTSS,2.6680852065425307,2
CTIB,2.6666667242556956,13
REVB,2.6666666666666665,6
TOPS,2.6654135051930883,4
6898,2.6624548736462095,20
9274,2.6595744680851063,48
AGLE,2.6587301821950757,11
TNYA,2.657992543968728,17
BHRB,2.6549076099186273,55
TOUR,2.6538461656024945,36
BSGM,2.6521739271277514,17
APGN,2.6514133320754585,2
ISEE,2.6499998366996076,141
KWE,2.6482757418026477,12
APYX,2.646387732050164,83
BAER,2.6437996196877633,3
WULF,2.6396648962421856,32
UPC,2.639344223850808,25
TC,2.6366666158040366,15
LNTH,2.6365932866281847,80
ADSE,2.6304349200712065,11
MARPS,2.627329147170312,10
9888,2.625,169
AFRM,2.624265472392424,42
LTBR,2.6206186160966265,8
7059,2.619750283768445,38
UTME,2.618556584469611,107
7046,2.61744966442953,146
BITF,2.6146789291833916,6
SPCE,2.6131564727141945,10
ASXC,2.612903213401739,4
UONE,2.611764694882649,10
8136,2.6117491166077738,214
AMST,2.610714460321435,28
2970,2.610062893081761,144
HGBL,2.60958893372029,158
TRKA,2.607894696687397,3
4492,2.607843137254902,63
WDH,2.6068376617005296,22
CIR,2.606557527409018,133
VYNE,2.603333314259847,4
7972,2.6032608695652173,83
4417,2.603217158176944,117
PPSI,2.6006290201738853,37
BTCM,2.60000021534582,4
VRCA,2.5986159018256676,14
BLTE,2.5985636875692144,15
5410,2.5978915662650603,113
ACLX,2.597435863264136,3
TELL,2.5972849194749354,4
7068,2.5956284153005464,46
NEXT,2.594262202975894,17
7359,2.5936883629191323,240
WFRD,2.5935252202691816,39
FRES,2.5906735921979887,15
EYPT,2.5894738110148716,11
NCTY,2.5892857884113885,5
4776,2.5886255924170616,55
6590,2.5884353741496597,252
BULZ,2.5869641389007847,75
NAAS,2.5862068115034824,10
ENIC,2.5857993872385787,81
5820,2.5856816450875857,63
6387,2.583826429980276,128
LODE,2.583333250549108,41
MDIA,2.5826086157286188,2
NUVL,2.5823256026866823,63
3825,2.5789473684210527,132
CVU,2.5785713975526843,58
3810,2.578454332552693,3
HEPA,2.577319511610616,4
AEAE,2.5740259981533398,4
FNGO,2.5737191845963894,79
DFH,2.573684290835732,72
EDTX,2.5718533568390263,403
AUGX,2.569696868111825,81
BEAT,2.566666671081826,3
TBLT,2.5659720739004848,10
NLSP,2.565905137899377,11
8103,2.5646551268082716,6
ANTX,2.563025279353306,3
6430,2.5625539257981016,231
2437,2.561111111111111,100
SMX,2.560975515792796,3
VIEW,2.559999942779541,5
VLD,2.5590061173616188,12
JFIN,2.5535713240352216,196
BKKT,2.5533910726035853,5
7047,2.54796320630749,130
6298,2.543171114599686,357
6857,2.5363984674329503,83
7080,2.534300791556728,86
LEU,2.533925730957077,28
KLR,2.528735673133063,7
6707,2.528,60
NUTX,2.526315764707211,24
3073,2.5262135922330096,187
SNGX,2.5248227142231143,4
3652,2.52356780275562,156
SATX,2.5197400096063265,2
SIDU,2.518656653679675,2
DRTT,2.5164834133156337,10
EHTH,2.516320424393575,41
COCO,2.5143853078617764,50
NTRB,2.513587171448111,2
BTAI,2.5090439295588696,24
VERV,2.507399780352467,34
UBX,2.5068491450571257,5
MRNA,2.5066666513119102,36
RENN,2.5056602368027225,25
6627,2.5037593984962405,74
JCSE,2.501084468338479,5
ACGN,2.5000000467487418,11
CNSP,2.500000042574747,2
CDTX,2.499999903863477,29
YEXT,2.4980694998465927,114
7014,2.497737556561086,64
6554,2.497737556561086,26
EFTR,2.4974358794617593,2
PLBY,2.4966268535280998,8
MARK,2.4943822151090735,3
CECO,2.4923666011591874,73
MSGM,2.4923077910609535,2
THRX,2.491651324275904,9
BLBX,2.4914088612235954,13
CGA,2.490909056230025,6
TTNP,2.4901960875977927,30
SITM,2.4884510529075348,53
FSLR,2.488144026505129,81
IMRX,2.4880953056742037,32
8142,2.4876385336743394,132
HOTH,2.4873949579831933,40
SCKT,2.486956554910411,3
NVCT,2.486605421793889,87
XFOR,2.4827587057378993,21
7091,2.4826175869120655,52
SERA,2.4819103780745992,4
ALDX,2.4811323173702338,157
EMAN,2.481012639126857,70
MFH,2.4800000190734863,66
3306,2.479892761394102,40
4107,2.479695431472081,202
7064,2.4795709908069457,18
YRD,2.477272614385147,13
MICS,2.476048104875624,7
SIGA,2.4745041720887757,40
RMBS,2.4725635085779527,104
CETXP,2.472525522656306,5
SKYT,2.472440951977241,6
CYH,2.4686191784096123,24
IOT,2.4679760481967943,86
9552,2.467771639042357,109
RMTI,2.465517205942542,60
VET,2.458750009536743,103
RGTI,2.4557522867843247,10
PT,2.4545455653805384,98
PLPC,2.453949862412018,110
METC,2.4524649165790997,25
FAMI,2.452380960828323,9
5408,2.4509345794392523,45
MEDS,2.4480873847065427,24
NEX,2.4476885870596146,18
GMDA,2.4444444607968845,14
BSFC,2.441666625274554,2
GWH,2.4385297967930315,2
3561,2.4375,115
META,2.4371204905680703,40
9272,2.4366737739872066,172
LILM,2.431289641657624,9
5727,2.430540827147402,62
RAIN,2.429065649172106,17
7184,2.4280701754385965,156
BOIL,2.4270460668798313,40
AMLI,2.4267514748352617,50
SMID,2.425689305475611,15
KOS,2.4250000276735855,81
IRTC,2.4240897882501993,119
ERYP,2.423469420725706,11
RGC,2.4221901048045464,3
SOS,2.421456101793958,2
3679,2.4212218649517685,133
COGT,2.4183006563107474,16
3498,2.4179943767572634,11
HDSN,2.4155845249618064,31
YQ,2.41228073202452,18
2726,2.407174323473883,133
4481,2.4057971014492754,202
DPRO,2.4053724235000953,6
NEOV,2.4043715804278674,8
ATLX,2.402877873561444,9
HOOK,2.402597493075024,4
ONCR,2.4025974465795787,2
PAVS,2.4,14
QNCX,2.399056147463756,41
NVTA,2.399038439495323,5
CLVR,2.39814797338145,6
IONQ,2.397148843898077,12
CPSS,2.397027573336238,40
NVVE,2.396551768433893,7
POWL,2.3960270072829117,159
CTSO,2.394557763549433,13
3996,2.394259818731118,24
YELL,2.394045531518101,13
8890,2.393225331369661,45
7367,2.39289055191768,267
6577,2.392156862745098,34
SCLX,2.390000104904175,5
MESA,2.389313168823293,28
PBF,2.385963057565095,162
FLJ,2.3853460563237214,16
KZR,2.3849917801987655,85
2585,2.38427393785669,120
ROIV,2.3827158429785906,126
VTYX,2.381408057420189,106
RES,2.3796907800645024,21
PBT,2.379080993924389,70
CAAS,2.3763067747763436,68
TKAT,2.3743017265767725,2
GSUN,2.373988129971857,7
ENVX,2.3733479535388353,13
8256,2.3728813559322033,25
6993,2.372093023255814,38
AXSM,2.3709903380151784,193
PTSI,2.3700426466921543,63
ARQQ,2.369077171511538,3
GME,2.368949071446019,5
DMAC,2.3648648343876912,121
EDU,2.3618090227495254,158
ACHV,2.361216641797404,62
5939,2.358913813459268,3
3377,2.358571442666753,18
USD,2.3575357475736385,98
6335,2.356512141280353,4
FRGE,2.3562059274468434,6
NXPL,2.350340038409719,37
RYAM,2.346040996667943,18
DVN,2.3452652364389754,74
DYN,2.3450413271993424,14
LQDA,2.343173363559999,65
6579,2.3426573426573425,4
NEON,2.3421051921606715,30
3132,2.3415559772296017,297
DXLG,2.3397437366978475,6
AACG,2.3396227857997887,13
MMAT,2.3374999711290005,12
ZKIN,2.336956583005718,3
4382,2.3346153846153848,173
SWVL,2.3333333333333335,6
OXBR,2.3333332229543657,3
IPW,2.3333332008785725,11
INFI,2.3333331828165598,13
3399,2.3306666666666667,66
6696,2.329710144927536,16
3760,2.3291284403669725,173
ACON,2.3281250669388114,2
SECO,2.327272708882313,2
KLXE,2.3270622689996494,14
JILL,2.3268053918434117,14
5380,2.3267564966313765,9
TOVX,2.326087028351532,9
SRTS,2.3253334045410154,55
MULN,2.322314049586777,5
CLOV,2.3222079898810137,2
TAYD,2.320888027662907,224
OXY,2.3193793177786435,184
HOV,2.3191085582524527,80
SGLY,2.318996372277542,85
SPRO,2.315550513854968,2
7388,2.3153942428035044,64
BWMN,2.3153468714537953,113
SEAC,2.3150683804063044,6
OBE,2.3138686607741312,15
HRTG,2.3128491367116135,73
GGAL,2.312787970710098,121
CBUS,2.3125,55
6083,2.311810995832798,38
VVPR,2.3103449516149004,9
EVER,2.3086956644929573,31
USEA,2.3085714067731584,24
RENT,2.3059700277606403,3
CRDO,2.3056266356596504,7
VINO,2.3025209057020506,3
9558,2.302182810368349,20
5189,2.3013800820589334,5
5445,2.300693909020817,87
KERN,2.300000059604646,2
HUYA,2.2999999006589293,23
BRAG,2.2982833452440303,2
CDLX,2.2969282818214953,5
EXAS,2.2964601147522443,93
6561,2.295121951219512,213
IBRX,2.290076435907805,2
PXS,2.2897585818282953,149
HSCS,2.286956668666273,4
FRZA,2.2868525071423464,2
GRBK,2.285654218963619,44
HYPR,2.285092314555298,102
DRCT,2.283581989967738,19
OSCR,2.2808512132056706,11
PEPG,2.278095245361328,5
WORX,2.2758622248873035,2
BLU,2.273037438795389,27
INBX,2.2729340785441563,3
VRAX,2.2727272647821053,5
XBIO,2.272727223467237,3
CPS,2.2725322959975967,3
4414,2.27140361094933,21
HUIZ,2.2711865982082036,13
4772,2.269503546099291,84
9279,2.2690506598552576,124
BTU,2.268557231441819,18
1382,2.2685475444096133,67
INSW,2.2658753377337053,212
EP,2.2638888428976496,106
APVO,2.2631579607807706,2
1743,2.2606516902608083,2
ADMA,2.258620715642136,172
4884,2.2582644628099175,64
ATHX,2.2575756823173707,19
4074,2.2550231839258115,28
OILU,2.253249793240474,32
TISI,2.2524272168274813,11
LIXT,2.2499999503294648,10
BZFD,2.2480621559102305,2
EAR,2.2477065006818333,2
7157,2.2467771639042358,47
BTDR,2.2460629958214797,2
9941,2.245697896749522,3
2813,2.2454212454212454,131
3496,2.2426470588235294,200
4445,2.24260576563085,2
TGS,2.2424241694464104,187
GRRR,2.2414698399241364,7
SVRA,2.2408758558813644,226
5698,2.240136050293183,39
HBIO,2.2393823872365233,10
SIBN,2.238284349772891,34
4937,2.237971391417425,236
CYN,2.235924962450672,3
3791,2.2335526315789473,160
CLIR,2.230769385952927,70
SOBR,2.228723440344596,15
LGVN,2.2269261898903583,4
EIGR,2.226328063089632,3
LFCR,2.2258063627124627,21
NAIL,2.223177499845044,90
QNRX,2.2216666666666667,45
4052,2.220779220779221,14
3094,2.2205288845707005,18
2884,2.217659137577002,31
TSLL,2.2169311332779182,17
CLSD,2.215053732199361,43
OLMA,2.2146893325060972,125
SGTX,2.2121211784391352,30
CDZI,2.2105262431411523,34
CEPU,2.2097264635929754,288
4442,2.209079283887468,192
RVSN,2.202312298548997,61
4431,2.2017777777777776,103
ALLK,2.200598830392659,58
AMPE,2.200000047683716,2
KRUS,2.1996829750849693,18
UHG,2.1996125420744117,10
SD,2.1988950198616295,69
RLX,2.1982758842169465,32
CGEN,2.1967213146790994,13
3121,2.196236559139785,9
SHC,2.1947235213106073,47
VERO,2.1946902190150093,2
KRTX,2.1938429307217655,35
PYXS,2.193103422194401,58
FREQ,2.192660579556176,10
DCFC,2.1924811600924445,2
TYRA,2.1907215848690234,100
6551,2.1901408450704225,156
SUNW,2.1899442233707753,4
4055,2.189703808180536,75
TASK,2.188566818272921,7
OMER,2.1868130946818685,67
EGY,2.1865078458040097,99
LXU,2.184210434326036,18
7809,2.1825902335456475,51
VRDN,2.18249266137684,87
6547,2.1772805507745265,135
MARA,2.17597768934831,6
CTIC,2.1750598390600295,469
JXJT,2.175,3
IPI,2.1739130117809076,25
GOEV,2.172897134309089,3
MLCO,2.172588914399095,89
GDC,2.1719457501727186,4
BBIO,2.1700844214596278,29
PKST,2.1690372011224976,10
4565,2.1682945154019535,122
MORF,2.168272831451317,155
HIVE,2.167741934491494,7
TRT,2.1640797635395312,26
7273,2.1636363636363636,2
6226,2.1602671118530883,82
RMED,2.16,2
YTEN,2.1590908936971474,8
9731,2.1574923547400613,163
6380,2.155096011816839,113
SONM,2.1546961216804164,62
PLX,2.1538462420187083,58
TPST,2.1532846988438354,7
