Symbol,Error,Time
9001,int too big to convert,2024-06-24 16:08:49.580244
7380,int too big to convert,2024-06-24 16:08:50.066539
9005,int too big to convert,2024-06-24 16:08:50.374356
9003,int too big to convert,2024-06-24 16:08:50.875690
9012,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:08:52.376682
9020,int too big to convert,2024-06-24 16:08:52.875008
9382,"could not create a new DataFrame: series ""column_0"" has length 3 while series ""column_6"" has length 1",2024-06-24 16:08:53.179818
9010,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:08:53.688171
9537,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 3",2024-06-24 16:08:53.992010
9031,int too big to convert,2024-06-24 16:08:54.432149
9027,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:08:54.619647
7337,int too big to convert,2024-06-24 16:08:55.038766
7389,int too big to convert,2024-06-24 16:08:55.242307
9007,int too big to convert,2024-06-24 16:08:55.467908
7381,int too big to convert,2024-06-24 16:08:55.774719
9022,int too big to convert,2024-06-24 16:08:55.989293
9145,"could not create a new DataFrame: series ""column_0"" has length 5 while series ""column_6"" has length 1",2024-06-24 16:08:56.349248
7327,int too big to convert,2024-06-24 16:08:57.211541
7180,int too big to convert,2024-06-24 16:08:59.114602
9006,int too big to convert,2024-06-24 16:08:59.547758
9033,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:00.236590
9034,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:00.833173
9021,int too big to convert,2024-06-24 16:09:01.559104
9029,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:09:02.477167
9025,"could not append value: 10102600000000000000 of type: u64 to the builder; make sure that all rows have the same schema or consider increasing `infer_schema_length`

it might also be that a value overflows the data-type's capacity",2024-06-24 16:09:02.934386
9099,"could not create a new DataFrame: series ""column_0"" has length 8 while series ""column_6"" has length 1",2024-06-24 16:09:03.388591
9037,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:04.939721
9035,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:05.404954
7186,int too big to convert,2024-06-24 16:09:06.052678
9057,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 3",2024-06-24 16:09:06.654278
8328,int too big to convert,2024-06-24 16:09:07.109488
9062,int too big to convert,2024-06-24 16:09:07.813363
7189,int too big to convert,2024-06-24 16:09:09.099780
9049,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:09.471770
9143,int too big to convert,2024-06-24 16:09:10.006193
9059,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 2",2024-06-24 16:09:10.715076
9017,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:11.228443
9142,int too big to convert,2024-06-24 16:09:11.769883
9039,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:09:12.287258
7173,int too big to convert,2024-06-24 16:09:13.499482
7167,int too big to convert,2024-06-24 16:09:14.092057
9048,int too big to convert,2024-06-24 16:09:14.736772
9042,int too big to convert,2024-06-24 16:09:15.346394
9045,int too big to convert,2024-06-24 16:09:15.897346
7161,"could not append value: 9504700000000000000 of type: u64 to the builder; make sure that all rows have the same schema or consider increasing `infer_schema_length`

it might also be that a value overflows the data-type's capacity",2024-06-24 16:09:16.295404
9044,int too big to convert,2024-06-24 16:09:16.824836
9060,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:18.199472
9063,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:18.816108
9064,int too big to convert,2024-06-24 16:09:19.326470
