Symbol,Error,Time
3960,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:33.774098
3904,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:33.826236
3925,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:33.870353
3926,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:33.912465
3928,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:33.965607
3903,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.008721
3930,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.071889
3923,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.132049
3910,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.163135
3912,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.218278
3929,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.257383
3920,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.307516
3990,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.379709
3963,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.443879
3934,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.486994
4017,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.557180
3966,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.632380
3931,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.657446
4074,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.713596
3961,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.740667
4057,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.774758
3932,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.794811
4011,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.810854
3937,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.822885
3916,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.836923
4018,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.848955
3970,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.887056
4012,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.923153
4015,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.932177
4073,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.946213
3985,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.962257
4195,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.972285
4055,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:34.983313
3853,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column saimucf with type object')",2024-07-26 14:04:34.995344
4019,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:35.004368
3927,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:35.013427
3936,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:35.034450
4269,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:35.042469
3933,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:35.051493
5838,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column gennkinn with type object')",2024-07-26 14:08:21.987325
7330,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column gennkinn with type object')",2024-07-26 14:08:28.948831
9204,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column gennkinn with type object')",2024-07-26 14:08:31.594866
9201,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column gennkinn with type object')",2024-07-26 14:08:32.406021
1375,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column gennkinn with type object')",2024-07-26 14:08:33.613232
3978,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column gennkinn with type object')",2024-07-26 14:08:42.789628
9434,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column gennkinn with type object')",2024-07-26 14:08:49.597730
